epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11268.6,0.96083,0.98101,1.29974,0.81795,0.70036,0.75535,0.55734,0.99985,4.85536,1.12266,0.0007294,0.0007294,0.0007294
43,11516.5,0.95224,0.98724,1.29574,0.813,0.71354,0.75713,0.55709,1.00626,4.09103,1.12266,0.0007228,0.0007228,0.0007228
44,11764.7,0.96397,0.98312,1.3003,0.81226,0.70054,0.76319,0.56126,0.9949,5.37399,1.10965,0.0007162,0.0007162,0.0007162
45,12011.8,0.94387,0.96536,1.28978,0.81967,0.69711,0.76972,0.5698,0.99126,5.58445,1.10271,0.0007096,0.0007096,0.0007096
46,12258.9,0.93386,0.94357,1.27872,0.79752,0.68738,0.75778,0.56225,0.98878,5.68217,1.09976,0.000703,0.000703,0.000703
47,12506.9,0.94523,0.96651,1.28541,0.81282,0.70761,0.76935,0.5668,0.98179,5.32424,1.10106,0.0006964,0.0006964,0.0006964
48,12753.9,0.9243,0.93502,1.27365,0.81692,0.69553,0.76693,0.56392,0.98689,5.90855,1.09618,0.0006898,0.0006898,0.0006898
49,13001,0.93023,0.9411,1.27544,0.81411,0.69967,0.77345,0.56955,0.99733,5.77046,1.10401,0.0006832,0.0006832,0.0006832
50,13247.9,0.91718,0.91315,1.27093,0.81677,0.70349,0.77522,0.5713,0.98806,5.28224,1.10126,0.0006766,0.0006766,0.0006766
51,13495.8,0.92717,0.91588,1.27082,0.8311,0.69693,0.77409,0.57227,0.98821,5.0796,1.09632,0.00067,0.00067,0.00067
52,13742.6,0.92757,0.92206,1.27053,0.80974,0.71036,0.77108,0.57259,0.98257,4.97757,1.08858,0.0006634,0.0006634,0.0006634
53,13989.5,0.9137,0.90361,1.26453,0.82502,0.70229,0.77109,0.57283,0.98873,5.29046,1.10099,0.0006568,0.0006568,0.0006568
54,14237.2,0.90864,0.9032,1.25775,0.81553,0.70986,0.77225,0.57342,0.97828,5.41516,1.09376,0.0006502,0.0006502,0.0006502
55,14485.6,0.92186,0.89921,1.26906,0.8321,0.68999,0.77654,0.57607,0.97924,5.52339,1.09885,0.0006436,0.0006436,0.0006436
56,14732.7,0.91259,0.89875,1.26291,0.80738,0.71098,0.77868,0.57859,0.97367,5.49834,1.0959,0.000637,0.000637,0.000637
57,14979.8,0.90069,0.87468,1.25068,0.83029,0.69214,0.77687,0.57826,0.97212,5.54079,1.09267,0.0006304,0.0006304,0.0006304
58,15227.4,0.90143,0.88971,1.26222,0.8238,0.7087,0.78156,0.58266,0.97305,5.14283,1.09029,0.0006238,0.0006238,0.0006238
59,15474.3,0.90627,0.88683,1.25663,0.81645,0.7182,0.78481,0.58439,0.96859,5.00875,1.085,0.0006172,0.0006172,0.0006172
60,15721.1,0.89562,0.87525,1.24904,0.83169,0.71645,0.7842,0.58569,0.97133,5.05472,1.08468,0.0006106,0.0006106,0.0006106
61,15968.1,0.88593,0.86905,1.24255,0.82477,0.71593,0.78607,0.58806,0.97278,5.33806,1.08691,0.000604,0.000604,0.000604
62,16215.8,0.89778,0.87978,1.25524,0.8254,0.70835,0.78166,0.58604,0.9687,5.54942,1.07895,0.0005974,0.0005974,0.0005974
63,16462.6,0.89227,0.85666,1.24141,0.81982,0.7119,0.78308,0.58821,0.95897,5.61917,1.07022,0.0005908,0.0005908,0.0005908
64,16709.5,0.87928,0.85635,1.2382,0.82964,0.71398,0.78711,0.58876,0.96129,5.46282,1.07311,0.0005842,0.0005842,0.0005842
65,16957.3,0.87643,0.84738,1.23683,0.81733,0.73358,0.79025,0.59142,0.95911,5.34994,1.07117,0.0005776,0.0005776,0.0005776
