epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5213.61,1.66375,2.43348,1.72217,0.56411,0.30405,0.25824,0.14198,1.07389,10.6695,1.06803,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5374.46,1.63318,2.38546,1.71621,0.38473,0.26277,0.25442,0.13937,1.07615,9.54551,1.07063,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5535.45,1.65399,2.37638,1.69724,0.53544,0.27579,0.261,0.14195,1.06674,13.1729,1.06875,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5697.03,1.61204,2.37408,1.68932,0.4769,0.27744,0.26575,0.14321,1.06935,12.6738,1.07253,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5859.34,1.5908,2.39566,1.66935,0.5121,0.28894,0.29533,0.16235,1.08218,11.3036,1.04971,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6019.78,1.60998,2.4065,1.67839,0.54472,0.29304,0.29151,0.15668,1.07664,10.8152,1.04021,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6180.08,1.60427,2.30036,1.67829,0.48437,0.31204,0.30918,0.17407,1.05176,13.2787,1.02664,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6340.97,1.60088,2.2897,1.66082,0.51309,0.28177,0.30133,0.16286,1.05542,12.9344,1.05427,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6501.45,1.58559,2.32956,1.65458,0.59577,0.31262,0.30147,0.16691,1.0462,11.802,1.03587,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6664.42,1.54895,2.28944,1.65336,0.55201,0.30585,0.3023,0.16542,1.0408,13.2423,1.02135,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
