epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,216.313,1.70531,6.16287,1.67647,0.59673,0.04016,0.03159,0.0132,1.38201,10.6077,1.26142,0.00998871,0.00332957,0.00998871,0.00332957,0.00998871,0.00332957,0.00998871,0.00332957
2,390.086,1.93964,4.45632,1.8496,0.5663,0.01921,0.01518,0.0059,1.64925,3.25512,1.59782,0.0197908,0.00659694,0.0197908,0.00659694,0.0197908,0.00659694,0.0197908,0.00659694
3,564.573,2.17734,3.91652,2.0848,0.05571,0.06519,0.02705,0.01047,1.69305,3.55924,1.59688,0.0293949,0.00979831,0.0293949,0.00979831,0.0293949,0.00979831,0.0293949,0.00979831
4,728.857,2.31313,3.88304,2.27105,0.60906,0.0454,0.04418,0.01652,1.52518,3.80278,1.50644,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,893.322,2.19186,3.78245,2.18386,0.65513,0.07683,0.06956,0.02718,1.43976,4.99705,1.44277,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1060.31,2.09477,3.5991,2.1441,0.63417,0.10012,0.08154,0.03466,1.40733,5.0946,1.38602,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1221.41,2.04919,3.40692,2.06992,0.61225,0.10477,0.07099,0.02892,1.33086,4.65827,1.35833,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1382.34,2.02682,3.28733,2.0506,0.61777,0.09057,0.11566,0.04603,1.31712,2.59042,1.28134,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1543.25,1.96456,3.23193,2.01956,0.25317,0.18118,0.1529,0.07188,1.23516,5.31687,1.26893,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1704.28,1.94738,3.12148,2.00665,0.21715,0.1852,0.12949,0.05862,1.23168,7.0835,1.24637,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1866.15,1.88224,3.11118,1.92405,0.26289,0.19483,0.14452,0.06766,1.20553,6.45332,1.23172,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2028.69,1.89018,3.09523,1.9188,0.24332,0.2178,0.17342,0.08053,1.21673,6.38205,1.21769,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2189.52,1.84932,3.06934,1.89921,0.2616,0.22663,0.16011,0.07448,1.20657,8.30745,1.22641,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2350.77,1.85076,2.86638,1.86558,0.32381,0.16483,0.16665,0.08111,1.17814,5.91467,1.19791,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2515.32,1.8177,2.94318,1.87099,0.37714,0.23717,0.18492,0.08735,1.20298,11.3208,1.19278,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2676.17,1.82696,2.93592,1.85676,0.31876,0.19234,0.19766,0.09758,1.13027,5.4403,1.16456,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2839.47,1.78781,2.89434,1.84156,0.32049,0.20319,0.17912,0.08474,1.1644,4.96369,1.17515,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3000.48,1.77041,2.81963,1.82703,0.23494,0.22864,0.17342,0.08403,1.21056,7.37817,1.18329,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3161.18,1.77878,2.7626,1.81498,0.29206,0.21638,0.22967,0.11823,1.13791,12.7296,1.12331,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3321.98,1.75505,2.71524,1.79743,0.30188,0.25074,0.22334,0.11206,1.12865,9.59344,1.13181,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3524.78,1.74786,2.69882,1.801,0.3776,0.2588,0.21488,0.11254,1.13079,7.67265,1.15136,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3756.53,1.72764,2.66922,1.78309,0.3587,0.26939,0.25135,0.13487,1.15693,7.74812,1.13373,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
